#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#group,false,false,true,true,false,false,true,true,true
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,sensor
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T11:50:04.589227632Z,2.208442396313364,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T12:00:05.80616866Z,2.1394402905362107,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T12:10:04.99503866Z,2.0154365062410355,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T12:20:05.328699819Z,1.9773103427228613,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T12:30:05.330792436Z,1.9094332712790307,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T12:40:05.074028245Z,1.8914327219458602,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T12:50:04.680873779Z,1.8565566576128423,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T13:00:05.106288331Z,1.7709290444654684,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T13:10:04.98389992Z,1.6695509506515702,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T13:20:04.420449274Z,1.630424756614887,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T13:30:05.416001474Z,1.6726760460219123,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T13:40:05.19418373Z,1.597173741874447,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T13:50:04.485943263Z,1.9706851405377361,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T14:00:05.497424578Z,2.050687582018494,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T14:10:04.889536314Z,1.8736821802423171,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T14:20:05.318637851Z,3.6431111789300212,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T14:30:06.175792511Z,1.9738102359080785,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T14:40:05.171465735Z,1.2927894528031252,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T14:50:06.361726773Z,1.0727827387310405,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T15:00:05.06893851Z,0.9567791985839411,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T15:10:04.694817184Z,0.9475289162877285,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T15:20:05.061604496Z,0.9327784661397137,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T15:30:05.863068903Z,1.0231562242500076,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T15:40:04.524364715Z,1.0704076662495805,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T15:50:06.915765814Z,1.1599103976561784,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T16:00:05.03193353Z,0.979404889065218,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T16:10:04.874398676Z,0.8555261085848568,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T16:20:05.173285214Z,0.8810268868068484,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T16:30:05.087553959Z,1.0062807092501602,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T16:40:04.651387893Z,0.8669014557329021,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T16:50:05.12875296Z,0.810649739066744,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T17:00:05.457541378Z,0.8561511276589252,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T17:10:05.350316638Z,0.8470258491775261,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T17:20:05.168906033Z,0.962779381694998,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T17:30:04.996417653Z,0.9985304727317118,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T17:40:04.892942247Z,0.9992804956205938,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T17:50:04.447095935Z,0.9300283822138127,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T18:00:05.467746774Z,0.9455288552507095,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T18:10:04.447851392Z,1.1194091616565447,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T18:20:05.234505183Z,1.1394097720267342,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T18:30:05.294228091Z,1.005155674916837,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T18:40:08.324953284Z,0.9541541184728538,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T18:50:04.568581806Z,0.8305253456221199,voltage,Sensor_Readings,Light
