Timestamp,Voltage (V),Raw Value
2024-05-19 00:09:58,1.62,12848
2024-05-19 00:09:59,1.61,12871
2024-05-19 00:10:00,1.61,12896
2024-05-19 00:10:01,1.61,12911
2024-05-19 00:10:02,1.61,12901
2024-05-19 00:10:03,1.61,12873
2024-05-19 00:10:04,1.61,12843
2024-05-19 00:10:05,1.62,12875
2024-05-19 00:10:07,1.61,12905
